Country,gdp_debt,gini % ,alcohol consumption 2016,Average daily dietary energy consumption per capita(kilocalories),Median Age 2020,health expenditure per capita 2018,spending on education(% GDP),population growth,democracy index 2020,Homelessness population per 10k,Economic Freedom Score,milk consumption per capita(2013),"2019 mortality rate, under-5 (per 1000 live births)",literacy rate elderly(+65),% Islam,titles(total),% Buddhists,Obesity rate (%),intentional homicide Rate,% Jewish,Averagedownloadspeed(Mbit/s)(Ookla),% Christians,Oil production per capita2021 (bbl/day/million people),Anual nominal US,yes important %,Prevalecence of tobacco use 2000,gdp estimate un,number of internet users %,Fertility rate  in 2020(births/woman),HDI 2021,Age of first marriage(woman),Incarceration rate per 100000,Average yearly temperature (1961–1990 Celsius),Scientific publications per capita (in ppm),Life expentacy at birth,Total Suicides per 100 000,Equivalent to a 2-year degree or higher(%),Age of criminal responsibility,kg per capita 2002,military expenditures %gdp
Zambia,45.0,57.1,4.8,2002.0,16.9,177.0,1.3,2.97,4.86,NA,53.6,9.71,61.7,52.3,1.0,NA,0.0,8.1,5.4,NA,NA,95.5,NA,596.0,95.0,19.9,985.0,24.4,4.5,0.565,18.7,123.0,21.40,44.0,62.5,14.4,NA,8.0,11.9,NA
Honduras,38.0,48.2,4.0,2673.0,24.4,412.0,6.0,1.63,5.36,1235.0,60.2,91.33,16.8,66.3,0.3,102.0,0.1,21.4,36.3,NA,NA,88.0,NA,2420.0,NA,NA,2406.0,29.0,2.39,0.621,21.2,237.0,23.50,37.0,71.9,2.6,NA,NA,24.7,NA
Kyrgyzstan,112.0,29.0,6.2,2729.0,27.3,268.0,6.1,1.44,4.21,NA,NA,210.92,18.3,92.5,85.0,1455.0,0.0,16.6,2.2,0.0027,48.12,14.2,104.0,162.0,72.0,31.4,1186.0,35.4,3.0,0.692,21.8,161.0,02.10,76.0,74.2,8.3,NA,14.0,39.0,NA
North Macedonia,73.0,33.0,NA,3072.0,39.0,1065.0,3.3,0.08,5.89,NA,71.1,157.93,6.1,NA,33.3,NA,0.0,22.4,1.2,0.00068,37.2,70.7,NA,2418.0,76.0,NA,5886.0,75.6,1.3,0.77,26.0,105.0,09.80,540.0,74.8,7.2,NA,14.0,35.4,NA
Cameroon,24.0,46.6,8.9,2733.0,18.5,138.0,3.1,2.56,2.77,389.0,52.4,15.27,74.8,26.1,30.0,NA,0.0,11.4,1.4,NA,NA,73.0,2596.0,785.0,96.0,12.8,1502.0,20.5,4.44,0.576,19.0,124.0,24.60,86.0,62.4,15.9,NA,10.0,14.4,NA
Yemen,21.0,36.7,0.1,2154.0,NA,NA,5.2,2.33,1.95,1294.0,NA,43.97,58.4,13.7,97.2,NA,0.0,17.1,6.8,NA,NA,0.01,2080.0,NA,98.0,27.3,937.0,22.9,3.61,0.455,23.0,53.0,23.85,35.0,66.6,7.1,NA,7.0,14.7,NA
Iran,2.0,40.9,1.0,3087.0,31.7,1115.0,4.0,1.04,2.2,1.9,51.1,46.69,13.9,36.8,99.4,102691.0,0.0,25.8,2.5,0.064,NA,0.95,29617.0,7587.0,78.0,21.5,11183.0,88.8,2.14,0.774,23.8,228.0,17.25,863.0,77.3,5.1,NA,12.0,23.1,2.3
Azerbaijan,22.0,33.7,0.8,3149.0,32.6,507.0,2.5,0.98,2.68,725.0,65.4,152.07,20.4,98.4,97.3,542.0,0.0,19.9,2.3,0.049,NA,3.1,69648.0,2118.0,36.0,28.7,4202.0,75.3,1.7,0.745,23.7,208.0,11.95,174.0,71.4,4.0,NA,14.0,15.9,NA
Moldova,70.0,26.0,15.2,2383.0,37.7,827.0,6.7,-0.24,5.78,NA,59.1,155.18,14.4,95.8,0.4,NA,NA,18.9,4.1,0.013,114.01,95.3,NA,1883.0,21.0,25.3,2954.0,100.7,1.28,0.767,25.8,182.0,09.45,211.0,73.3,12.2,NA,14.0,22.7,NA
Namibia,64.0,59.1,9.8,2469.0,21.8,874.0,8.4,2.12,6.52,NA,58.7,73.05,42.4,56.7,0.4,106.0,0.0,17.2,11.9,0.00068,NA,90.0,NA,NA,92.0,25.6,4215.0,36.9,3.29,0.615,29.2,295.0,19.95,205.0,64.6,13.5,NA,7.0,34.0,NA
Bolivia,33.0,43.6,4.8,2412.0,25.3,573.0,7.3,1.47,5.08,NA,42.3,46.04,26.0,67.5,0.0,1578.0,0.0,20.2,6.2,0.0034,NA,89.0,2681.0,4071.0,89.0,32.1,3133.0,40.1,2.65,0.692,24.1,164.0,21.55,38.0,72.1,6.8,NA,14.0,50.0,NA
Uganda,24.0,42.7,9.5,1981.0,15.7,95.0,2.6,3.23,4.94,143.0,59.7,37.27,45.8,36.1,14.0,288.0,0.0,5.3,9.7,NA,NA,88.6,NA,426.0,93.0,24.7,846.0,22.2,4.7,0.525,18.2,124.0,22.80,53.0,66.7,10.4,NA,12.0,11.7,NA
Senegal,42.0,38.1,0.7,2545.0,19.4,153.0,4.8,2.77,5.67,NA,56.3,16.86,45.3,21.5,97.2,NA,0.3,8.8,0.3,NA,NA,4.2,NA,686.0,96.0,14.3,1458.0,27.8,4.49,0.511,22.2,68.0,27.85,54.0,68.6,11.0,NA,13.0,17.7,NA
Armenia,102.0,25.2,5.5,2997.0,36.6,1356.0,2.3,0.15,5.35,NA,67.7,209.03,11.8,98.9,0.03,396.0,0.0,20.2,1.8,0.00068,NA,97.9,NA,1787.0,79.0,32.0,4266.0,73.2,1.76,0.759,26.3,74.0,07.15,396.0,76.0,2.7,NA,14.0,27.7,NA
Myanmar,17.0,30.7,4.8,2673.0,NA,229.0,2.2,0.9,3.04,NA,53.6,31.48,44.7,58.2,NA,3660.0,89.9,NA,2.3,NA,NA,6.2,138.0,691.0,96.0,66.9,1292.0,30.4,2.12,0.585,20.5,171.0,13.05,18.0,69.1,3.0,NA,7.0,10.7,NA
Syria,24.0,37.5,0.3,NA,23.5,NA,5.1,0.2,1.43,3753.0,NA,111.43,21.5,39.0,86.0,1138.0,NA,27.8,0.9,0.00068,NA,10.0,1544.0,96.0,89.0,NA,890.0,29.3,2.73,0.577,26.3,60.0,17.75,40.0,72.7,2.1,NA,10.0,21.2,NA
Gabon,35.0,38.0,11.5,2633.0,21.0,401.0,2.7,2.17,3.54,NA,56.3,30.16,42.5,60.6,10.0,NA,NA,15.0,NA,NA,NA,88.0,78388.0,3246.0,NA,NA,6789.0,44.4,3.87,0.706,20.4,241.0,25.05,85.0,66.5,13.1,NA,13.0,46.0,NA
Bosnia and Herzegovina,23.0,33.0,6.4,3307.0,43.3,1297.0,NA,-0.22,4.84,NA,61.9,174.03,5.9,86.0,50.7,NA,NA,17.9,1.2,0.0034,44.85,45.94,NA,3949.0,75.0,46.6,6035.0,70.9,1.24,0.78,27.1,83.0,09.85,474.0,76.8,8.3,NA,14.0,21.4,NA
Barbados,100.0,NA,9.6,2956.0,39.5,1080.0,4.7,0.24,NA,NA,64.7,110.48,12.7,98.5,1.5,NA,0.0,23.1,9.8,0.00068,105.71,74.0,3546.0,6500.0,NA,10.2,15449.0,83.1,1.63,0.79,31.8,296.0,26.00,542.0,76.0,0.3,NA,NA,88.7,NA
Montenegro,151.0,36.8,8.0,3500.0,39.6,1769.0,NA,0.04,5.77,NA,60.5,349.21,2.3,93.9,19.1,NA,0.0,23.3,2.9,NA,64.44,78.8,NA,6387.0,71.0,38.7,7626.0,80.4,1.75,0.832,28.6,172.0,10.55,1006.0,75.9,16.2,NA,14.0,NA,NA
Madagascar,41.0,42.6,1.9,1938.0,20.3,68.0,2.8,2.67,5.7,NA,56.6,24.84,50.6,49.4,10.0,119.0,0.0,5.3,NA,0.00068,41.4,85.0,NA,376.0,93.0,46.7,470.0,8.7,3.98,0.501,18.4,102.0,22.65,15.0,65.3,9.2,NA,13.0,17.6,NA
Algeria,2.0,27.6,0.9,3322.0,28.9,741.0,4.3,1.67,3.77,NA,46.2,141.53,23.3,19.5,99.0,3955.0,0.0,27.4,1.3,NA,NA,0.01,24959.0,1777.0,95.0,22.2,3368.0,59.6,2.94,0.745,28.2,153.0,22.50,176.0,77.1,2.6,NA,13.0,18.4,NA
Mali,26.0,36.1,1.3,2873.0,16.1,84.0,3.1,2.99,3.93,164.0,58.1,98.68,94.0,13.6,95.0,14.0,0.0,8.6,NA,NA,NA,2.4,NA,616.0,95.0,16.3,856.0,10.8,5.69,0.428,18.8,33.0,28.25,16.0,62.8,8.0,NA,13.0,19.0,NA
Mauritania,76.0,32.6,0.0,2877.0,21.0,188.0,2.6,2.69,3.92,NA,55.7,160.82,72.9,26.6,100.0,NA,NA,12.7,NA,NA,NA,0.14,NA,982.0,97.0,21.3,1702.0,19.9,4.45,0.556,19.0,53.0,27.65,20.0,68.4,5.5,NA,7.0,29.9,NA
Libya,9.0,NA,0.0,NA,25.8,NA,2.3,1.33,1.95,405.0,NA,75.0,11.5,24.2,97.0,26.0,0.3,32.5,NA,NA,NA,2.7,181710.0,1169.0,NA,NA,4243.0,20.6,2.17,0.718,29.2,139.0,21.80,97.0,75.8,4.5,NA,14.0,28.6,NA
Nepal,16.0,32.8,2.0,2769.0,25.3,172.0,5.2,1.09,5.22,NA,53.8,52.1,30.8,20.8,4.2,NA,10.3,4.1,2.3,NA,NA,0.9,NA,1524.0,93.0,64.5,1135.0,53.9,1.84,0.602,20.1,86.0,08.10,84.0,70.9,9.8,NA,10.0,10.0,NA
Burkina Faso,26.0,47.3,8.2,2737.0,17.9,105.0,4.2,2.87,3.73,335.0,59.4,29.79,87.5,8.4,63.8,12.0,0.0,5.6,1.3,NA,NA,22.0,NA,750.0,88.0,29.8,831.0,13.8,5.03,0.449,17.9,37.0,28.29,30.0,62.7,14.4,NA,13.0,11.2,NA
Niger,36.0,37.3,0.5,2601.0,14.8,65.0,3.5,3.81,3.29,NA,51.6,58.92,80.4,13.7,98.3,NA,NA,5.5,4.4,NA,NA,0.5,324.0,650.0,98.0,9.7,568.0,8.7,6.74,0.4,17.2,47.0,27.15,8.0,63.3,10.1,NA,13.0,11.2,NA
Seychelles,180.0,32.1,13.8,NA,36.8,1395.0,4.4,0.5,NA,NA,61.4,79.23,14.2,71.5,1.1,NA,0.0,14.0,12.5,NA,NA,94.7,NA,3282.0,NA,28.7,10767.0,52.3,2.29,0.785,25.2,324.0,27.15,1119.0,73.3,7.7,NA,7.0,51.1,NA
Rwanda,29.0,43.7,9.0,2188.0,19.7,141.0,3.1,2.36,3.1,NA,71.1,7.23,34.3,24.3,4.8,NA,NA,5.8,2.6,NA,NA,93.6,NA,NA,95.0,24.8,798.0,19.7,3.93,0.534,20.6,511.0,17.85,55.0,69.1,9.5,NA,14.0,4.4,NA
Benin,26.0,37.8,3.0,2755.0,17.0,77.0,4.0,2.73,4.58,NA,55.3,8.4,90.3,7.0,27.7,84.0,0.0,9.6,1.1,NA,NA,42.8,NA,865.0,93.0,16.7,1254.0,12.1,4.7,0.525,18.7,70.0,27.55,50.0,63.4,12.7,NA,13.0,16.2,NA
Tajikistan,38.0,34.0,3.3,2109.0,25.3,245.0,5.2,2.06,1.94,NA,55.6,54.54,33.8,98.1,97.9,132.0,0.0,14.2,0.9,NA,NA,1.4,33.0,265.0,85.0,NA,838.0,20.1,3.52,0.685,22.5,121.0,06.40,34.0,69.5,5.3,NA,14.0,8.7,NA
Bhutan,108.0,37.4,0.6,NA,29.1,364.0,6.6,1.18,5.71,0.0,62.9,NA,28.5,14.9,0.2,NA,74.7,6.4,2.5,NA,NA,1.0,NA,609.0,NA,NA,3218.0,50.0,1.93,0.666,22.8,145.0,07.40,265.0,73.1,5.1,NA,10.0,3.0,NA
Haiti,24.0,41.1,5.8,2121.0,24.1,137.0,2.5,1.2,4.22,34.0,52.7,18.98,62.8,8.5,0.0,NA,0.0,22.7,6.7,NA,NA,96.0,NA,1014.0,85.0,12.3,1360.0,11.8,2.84,0.535,23.7,97.0,24.90,11.0,64.1,11.2,NA,NA,15.3,NA
Malawi,39.0,38.5,3.7,2392.0,16.8,104.0,4.0,2.87,5.74,NA,51.4,7.98,41.6,35.1,20.0,117.0,0.0,5.8,1.8,NA,NA,81.95,NA,266.0,97.0,24.1,615.0,12.9,4.05,0.512,17.9,71.0,21.90,50.0,65.6,10.6,NA,7.0,5.1,NA
Chad,18.0,37.5,1.5,2115.0,16.1,72.0,2.9,3.01,1.55,209.0,49.9,20.63,113.8,7.0,58.0,NA,0.0,6.1,NA,NA,NA,35.0,5228.0,1298.0,95.0,13.9,679.0,5.6,5.55,0.394,18.8,59.0,26.55,4.0,59.6,13.2,NA,13.0,14.3,NA
Botswana,8.0,53.3,8.4,2342.0,25.7,929.0,7.8,1.79,7.62,NA,69.5,117.74,41.6,40.7,0.4,158.0,0.0,18.9,15.2,0.00068,NA,71.6,NA,1933.0,77.0,33.2,6711.0,36.7,2.8,0.693,26.4,208.0,21.50,332.0,62.2,20.2,NA,8.0,27.3,NA
Cape Verde,99.0,42.4,5.7,2541.0,26.8,347.0,5.2,1.25,7.65,NA,NA,115.64,14.9,36.8,2.0,NA,NA,11.8,6.5,NA,NA,89.1,NA,1673.0,NA,20.6,3064.0,NA,2.21,0.662,21.5,296.0,23.30,119.0,NA,15.2,NA,16.0,26.3,NA
Sierra Leone,36.0,35.7,5.7,2369.0,19.1,137.0,4.6,2.12,4.86,NA,47.5,7.0,109.2,3.7,78.6,NA,0.3,8.7,1.7,NA,NA,15.45,NA,575.0,NA,43.7,475.0,11.9,4.08,0.477,23.1,60.0,26.05,25.0,60.8,11.3,NA,14.0,6.1,NA
Djibouti,71.0,41.6,0.5,2694.0,24.9,110.0,8.4,1.51,2.71,NA,47.1,59.81,57.5,NA,97.0,NA,NA,13.5,NA,NA,NA,6.0,NA,NA,96.0,NA,3465.0,48.2,2.63,0.509,26.9,71.0,28.00,36.0,65.8,11.9,NA,13.0,17.1,NA
Guinea,20.0,29.6,1.3,2746.0,19.1,95.0,2.2,2.57,3.08,NA,55.7,20.62,98.8,13.1,89.1,NA,0.0,7.7,NA,NA,NA,8.9,NA,NA,96.0,NA,1179.0,10.7,4.55,0.465,19.8,28.0,25.70,11.0,61.0,12.3,NA,10.0,6.5,NA
Belize,75.0,49.8,6.7,2775.0,23.9,426.0,7.4,2.05,NA,NA,55.4,80.3,12.3,44.8,0.2,NA,0.5,24.1,25.7,NA,49.44,76.7,2391.0,5850.0,62.0,15.0,3988.0,44.1,2.25,0.683,28.6,307.0,25.35,114.0,74.4,7.7,NA,7.0,74.7,NA
Afghanistan,7.0,NA,0.2,2040.0,19.5,300.0,4.1,2.41,2.85,1180.0,51.5,62.23,60.3,20.3,99.7,2795.0,0.0,5.5,6.7,NA,NA,0.02,NA,858.0,97.0,36.9,508.0,10.1,4.18,0.478,15.5,87.0,12.60,9.0,63.2,6.0,NA,12.0,NA,NA
Suriname,30.0,57.9,5.1,2698.0,31.0,1263.0,NA,0.87,6.82,NA,48.1,48.97,18.0,76.0,14.3,47.0,0.6,26.4,5.4,0.0014,NA,50.0,24804.0,NA,NA,NA,7023.0,45.0,2.37,0.73,29.3,183.0,25.70,100.0,71.5,25.9,NA,NA,40.3,NA
Togo,26.0,42.4,3.1,2443.0,20.0,124.0,5.0,2.45,2.8,211.0,50.3,7.96,66.9,20.4,20.0,NA,0.0,8.4,NA,NA,NA,29.0,NA,757.0,80.0,14.4,863.0,11.1,4.2,0.539,22.3,67.0,27.15,28.0,64.3,14.8,NA,14.0,8.5,NA
Guyana,36.0,44.6,6.3,2913.0,27.5,622.0,6.3,0.57,6.01,NA,56.8,141.68,29.3,49.9,7.3,42.0,0.0,20.2,20.0,NA,45.37,64.0,148118.0,2015.0,NA,30.2,6956.0,36.1,2.42,0.714,21.5,239.0,26.00,91.0,65.7,40.9,NA,NA,31.8,NA
Liberia,51.0,35.3,5.8,2168.0,18.0,146.0,2.3,2.52,5.32,NA,49.7,3.04,84.6,32.8,20.0,NA,0.0,9.9,3.3,NA,NA,85.5,NA,4.0,94.0,16.3,491.0,7.3,4.18,0.481,18.9,54.0,25.30,15.0,64.1,7.4,NA,7.0,7.9,NA
Guinea-Bissau,94.0,34.8,4.8,2229.0,18.0,145.0,2.1,2.44,2.63,NA,54.0,19.88,78.5,19.5,46.1,NA,NA,9.5,1.1,NA,NA,10.0,NA,412.0,NA,18.0,668.0,3.5,NA,0.483,20.9,10.0,26.75,35.0,60.2,12.4,NA,NA,13.0,NA
Lesotho,53.0,44.9,5.0,2323.0,24.7,274.0,6.5,1.31,6.3,NA,53.1,25.35,86.4,51.4,0.1,NA,0.0,16.6,43.6,NA,NA,90.0,NA,956.0,NA,31.1,1061.0,29.2,3.07,0.514,20.9,92.0,11.85,46.0,50.7,87.5,NA,10.0,15.4,NA
Fiji,18.0,30.7,3.0,2781.0,29.9,484.0,3.9,0.72,5.72,NA,62.2,40.2,25.7,NA,6.3,401.0,0.0,30.2,NA,NA,NA,64.4,NA,3232.0,NA,32.3,5013.0,48.9,2.73,0.73,24.1,274.0,24.40,522.0,68.0,9.5,NA,10.0,39.1,NA
Maldives,23.0,29.3,2.7,2235.0,29.5,1507.0,4.1,1.85,NA,NA,53.2,111.47,7.6,92.8,98.4,NA,0.6,8.6,0.7,NA,NA,0.08,NA,NA,NA,38.3,6924.0,52.9,1.81,0.747,21.6,499.0,28.00,238.0,79.6,2.8,NA,15.0,16.6,NA
Burundi,26.0,38.6,7.5,NA,17.7,56.0,4.8,3.15,2.14,NA,48.9,4.6,56.5,24.9,10.0,NA,NA,5.4,6.1,NA,NA,75.0,NA,NA,96.0,24.0,286.0,4.8,5.24,0.426,20.3,96.0,19.80,9.0,63.8,12.1,NA,15.0,3.5,NA
Central African Republic,39.0,56.2,3.3,1786.0,20.0,99.0,1.2,1.58,1.32,1421.0,49.1,13.53,110.1,35.7,15.0,NA,NA,7.5,20.1,NA,NA,80.0,NA,821.0,94.0,NA,481.0,3.7,4.57,0.404,17.3,16.0,24.90,12.0,53.1,23.0,NA,14.0,28.0,NA
Turkmenistan,1.0,40.8,5.4,2830.0,29.2,997.0,3.0,1.61,1.72,NA,48.4,137.09,42.0,97.6,93.7,450.0,0.0,18.6,4.2,0.0014,NA,9.0,28905.0,1834.0,80.0,12.0,7104.0,19.3,2.7,0.745,23.3,552.0,15.10,2.0,69.7,6.1,NA,14.0,41.7,NA
Eswatini,14.0,54.6,9.9,2426.0,23.7,618.0,NA,1.75,3.08,NA,54.7,56.6,49.4,45.2,2.0,NA,NA,16.5,11.6,NA,NA,82.7,NA,694.0,NA,12.3,3306.0,34.7,2.92,0.597,26.5,278.0,21.40,125.0,57.7,40.5,NA,NA,NA,NA
Brunei,2.8,NA,0.4,2985.0,31.1,1474.0,4.4,1.25,NA,NA,NA,70.47,11.4,61.6,80.9,91.0,8.6,14.1,0.5,NA,NA,7.1,228321.0,NA,NA,16.7,27437.0,91.3,1.8,0.829,25.1,186.0,26.85,1584.0,NA,2.5,NA,7.0,NA,NA
Sao Tome and Principe,67.0,40.7,6.8,2446.0,19.3,237.0,4.9,2.18,NA,NA,54.0,22.58,29.8,49.6,3.0,NA,NA,12.4,3.3,NA,NA,NA,NA,NA,NA,7.8,2174.0,27.4,4.21,0.618,18.8,116.0,23.75,42.0,70.4,2.2,NA,16.0,9.6,NA
Vanuatu,27.0,NA,1.0,2607.0,23.0,103.0,4.7,2.1,NA,NA,56.4,25.21,25.9,44.2,0.0,NA,0.0,25.2,NA,NA,NA,NA,NA,3240.0,NA,25.6,2783.0,22.3,3.71,0.607,20.8,72.0,23.95,173.0,65.3,21.0,NA,10.0,32.6,NA
Comoros,21.0,45.3,0.9,NA,20.9,164.0,2.5,2.24,3.09,NA,55.4,11.15,62.9,12.8,98.3,NA,NA,7.8,NA,NA,NA,2.1,NA,1587.0,96.0,39.5,1421.0,8.4,4.07,0.558,20.4,27.0,25.30,24.0,67.4,8.5,NA,14.0,7.6,NA
