Country,Oil production per capita2021 (bbl/day/million people)
United States,33556.0
Russia,69689.0
Saudi Arabia,265991.0
Canada,114275.0
Iraq,99172.0
China,2823.0
United Arab Emirates,333062.0
Brazil,13484.0
Iran,29617.0
Kuwait,541020.0
Norway,324349.0
Kazakhstan,91149.0
Mexico,13494.0
Nigeria,7051.0
Qatar,465768.0
Libya,181710.0
Algeria,24959.0
Angola,34076.0
Oman,214450.0
United Kingdom,12083.0
Colombia,14424.0
Azerbaijan,69648.0
Indonesia,2389.0
India,438.0
Venezuela,21016.0
Egypt,5387.0
Malaysia,15604.0
Argentina,10720.0
Ecuador,26108.0
Australia,12860.0
Republic of the Congo,44535.0
Turkmenistan,28905.0
Vietnam,1849.0
Ghana,5835.0
Thailand,2647.0
Gabon,78388.0
Bahrain,116433.0
South Sudan,11858.0
Equatorial Guinea,88081.0
Guyana,148118.0
Italy,1701.0
Brunei,228321.0
Chad,5228.0
Pakistan,350.0
Yemen,2080.0
Sudan,1489.0
Turkey,783.0
Romania,3403.0
Denmark,10817.0
Cameroon,2596.0
Trinidad and Tobago,43748.0
Peru,1150.0
Papua New Guinea,4081.0
Germany,424.0
Tunisia,2986.0
Syria,1544.0
Belarus,3670.0
Cuba,3052.0
Ukraine,753.0
C̫te d'Ivoire,1122.0
Netherlands,1842.0
Bolivia,2681.0
Democratic Republic of the Congo,222.0
Poland,470.0
Hungary,1830.0
Mongolia,4815.0
Albania,5687.0
Serbia,2236.0
Suriname,24804.0
East Timor,10622.0
France,192.0
Croatia,2929.0
Austria,1196.0
New Zealand,1607.0
Niger,324.0
Myanmar,138.0
Guatemala,369.0
Uzbekistan,1418.0
Chile,252.0
Japan,32.0
Bangladesh,18.0
Czech Republic,160.0
Greece,112.0
Belize,2391.0
Barbados,3546.0
Bulgaria,153.0
Philippines,85.0
South Africa,16.0
Kyrgyzstan,104.0
Lithuania,247.0
Tajikistan,33.0
Georgia,80.0
Taiwan,8.0
Spain,3.0
Slovakia,17.0
Israel,3.0
Morocco,1.0